cluster,en,es,pt,pt-br
0,0.534581697372395,0.02265176683781335,0.0033222591362126247,0.439444276653579
1,0.47841225626740946,0.02924791086350975,0.004178272980501393,0.4881615598885794
2,0.48223525353570196,0.030355294929285962,0.003104518799586064,0.484304932735426
3,0.4307692307692308,0.020347394540942927,0.005459057071960298,0.543424317617866
