scope,embedding,algorithm,k,sample_count,cluster_count,target,label_column,davies_bouldin,silhouette,nmi,ari,purity
full,mu,kmeans,2,9661,2,language,music_lang,0.6144200652205387,0.5965716242790222,0.0035617582783079482,0.0036409051473272813,0.518993892971742
full,mu,kmeans,3,9661,3,language,music_lang,0.4161511020526722,0.7206478118896484,0.003054725236506357,0.0032752491217377024,0.5148535348307629
full,mu,kmeans,4,9661,4,language,music_lang,0.4199231184311885,0.7216124534606934,0.003145791239333875,0.0034484838930022993,0.514439499016665
full,mu,kmeans,5,9661,5,language,music_lang,0.4313543026553047,0.7174248695373535,0.0034273448564076875,0.0040644572135960745,0.5200289825069868
full,mu,kmeans,6,9661,6,language,music_lang,0.4495380962600201,0.7102077007293701,0.00333530072169358,0.0039810920844476445,0.5204430183210847
full,mu,kmeans,8,9661,8,language,music_lang,0.4853402514745332,0.6868911385536194,0.003388406498619721,0.004435313343614597,0.5186833661111686
