scope,embedding,algorithm,k,sample_count,cluster_count,target,silhouette,nmi,ari,purity
full,mu,kmeans,2,9661,2,language,0.9651350975036621,0.850350554631307,0.9164588109166382,0.963978884173481
full,mu,kmeans,3,9661,3,language,0.9645606279373169,0.8801984639413069,0.9469752366984112,0.9782631197598592
full,mu,kmeans,4,9661,4,language,0.960468590259552,0.8696859531001359,0.9466658333451582,0.9774350481316634
full,mu,kmeans,5,9661,5,language,0.9439303874969482,0.8511042253264303,0.9362992383192602,0.9773315391781389
full,mu,kmeans,6,9661,6,language,0.9362297058105469,0.8404417319643182,0.9298010973717707,0.9777455749922368
full,mu,kmeans,8,9661,8,language,0.9281793236732483,0.8281852283337459,0.9242629807955628,0.9775385570851879
