method,silhouette,nmi,ari,purity
vae_mu_kmeans,0.7216124534606934,0.0031457912393338,0.0034484838930022,0.514439499016665
pca_audio_lyrics_kmeans,0.1256642341613769,0.5805914691953362,0.4788124860946282,0.9628402856847116
autoencoder_audio_lyrics_kmeans,0.0860419943928718,0.5865899877015379,0.4817749400721428,0.9617016871959424
spectral_feature_kmeans,0.1922692656517028,0.0035265307244688,0.0031833602682462,0.514025463202567
